ก.	k-@@-z^-0|
อัจฉริยภาพ	z-a-t^-1|ch-a-z^-1|r-i-z^-3|j-a-z^-3|ph-aa-p^-2|
อัจฉริยะ	z-a-t^-1|ch-a-z^-1|r-i-z^-3|j-a-z^-3|
อัญชัน	z-a-n^-0|ch-a-n^-0|
อัญมณี	z-a-n^-0|j-a-z^-3|m-a-z^-3|n-ii-z^-0|
อัด	z-a-t^-1|
อัตตาธิปไตย	z-a-t^-1|t-aa-z^-0|th-i-p^-3|p-a-z^-1|t-a-j^-0|
อัตภาพ	z-a-t^-1|t-a-z^-1|ph-aa-p^-2|
อัตรา	z-a-t^-1|tr-aa-z^-0|
อัตราส่วน	z-a-t^-1|tr-aa-z^-0|s-uua-n^-1|
อัตลักษณ์	z-a-t^-1|t-a-z^-1|l-a-k^-3|
อัตโนมัติ	z-a-t^-1|t-a-z^-1|n-oo-z^-0|m-a-t^-3|
อัน	z-a-n^-0|
อันดับ	z-a-n^-0|d-a-p^-1|
อันตราย	z-a-n^-0|t-a-z^-1|r-aa-j^-0|
อันที่จริง	z-a-n^-0|th-ii-z^-2|c-i-ng^-0|
อันหนึ่ง	z-a-n^-0|n-v-ng^-1|
อันหนึ่งอันเดียวกัน	z-a-n^-0|n-v-ng^-1|z-a-n^-0|d-iia-w^-0|k-a-n^-0|
อันเดียว	z-a-n^-0|d-iia-w^-0|
อันเดียวกัน	z-a-n^-0|d-iia-w^-0|k-a-n^-0|
อันเนื่องมาจาก	z-a-n^-0|n-vva-ng^-2|m-aa-z^-0|c-aa-k^-1|
อับอาย	z-a-p^-1|z-aa-j^-0|
อัปมงคล	z-a-p^-1|p-a-z^-1|m-o-ng^-0|kh-o-n^-0|
อัปยศ	z-a-p^-1|p-a-z^-1|j-o-t^-3|
อัลคาโปน	z-a-n^-0|kh-aa-z^-0|p-oo-n^-0|
อัศจรรย์	z-a-t^-1|s-a-z^-1|c-a-n^-0|
อา	z-aa-z^-0|
อากร	z-aa-z^-0|k-@@-n^-0|
อาการ	z-aa-z^-0|k-aa-n^-0|
อาการนาม	z-aa-z^-0|k-aa-n^-0|r-a-z^-3|n-aa-m^-0|
อากาศ	z-aa-z^-0|k-aa-t^-1|
อาคาร	z-aa-z^-0|kh-aa-n^-0|
อาคเนย์	z-aa-z^-0|kh-a-z^-3|n-ee-z^-0|
อาจ	z-aa-t^-1|
อาจารย์	z-aa-z^-0|c-aa-n^-0|
อาชญากร	z-aa-t^-1|j-aa-z^-0|k-@@-n^-0|
อาชญากรรม	z-aa-t^-1|ch-a-z^-3|j-aa-z^-0|k-a-m^-0|
อาชญากรรม	z-aa-t^-1|j-aa-z^-0|k-a-m^-0|
อาชีพ	z-aa-z^-0|ch-ii-p^-2|
อาณัติ	z-aa-z^-0|n-a-t^-3|
อาณาจักร	z-aa-z^-0|n-aa-z^-0|c-a-k^-1|
อาณานิคม	z-aa-z^-0|n-aa-z^-0|n-i-z^-3|kh-o-m^-0|
อาณาเขต	z-aa-z^-0|n-aa-z^-0|kh-ee-t^-1|
อาตมา	z-aa-t^-1|t-a-z^-1|m-aa-z^-0|
อาทร	z-aa-z^-0|th-@@-n^-0|
อาทิ	z-aa-z^-0|th-i-z^-3|
อาทิตย์	z-aa-z^-0|th-i-t^-3|
อานันท์	z-aa-z^-0|n-a-n^-0|
อาบน้ำ	z-aa-p^-1|n-aa-m^-3|
อามิสทาน	z-aa-z^-0|m-i-t^-3|s-a-z^-1|th-aa-n^-0|
อาย	z-aa-j^-0|
อายตนะ	z-aa-z^-0|j-a-z^-3|t-a-z^-1|n-a-z^-3|
อายัด	z-aa-z^-0|j-a-t^-3|
อายุ	z-aa-z^-0|j-u-z^-3|
อายุขัย	z-aa-z^-0|j-u-z^-3|kh-a-j^-4|
อารมณ์	z-aa-z^-0|r-o-m^-0|
อารยชน	z-aa-z^-0|r-a-z^-3|j-a-z^-3|ch-o-n^-0|
อารยธรรม	z-aa-z^-0|r-a-z^-3|j-a-z^-3|th-a-m^-0|
อาร์ตติสท์	z-aa-t^-3|t-i-s^-3|
อาวุธ	z-aa-z^-0|w-u-t^-3|
อาวุโส	z-aa-z^-0|w-u-z^-3|s-oo-z^-4|
อาศัย	z-aa-z^-0|s-a-j^-4|
อาสา	z-aa-z^-0|s-aa-z^-4|
อาสาสมัคร	z-aa-z^-0|s-aa-z^-4|s-a-z^-1|m-a-k^-1|
อาหว่า	z-aa-z^-0|w-aa-z^-1|
อาหาร	z-aa-z^-0|h-aa-n^-4|
อาเซียน	z-aa-z^-0|s-iia-n^-2|
อำนวย	z-a-m^-0|n-uua-j^-0|
อำนวยการ	z-a-m^-0|n-uua-j^-0|k-aa-n^-0|
อำนาจ	z-a-m^-0|n-aa-t^-2|
อำเภอ	z-a-m^-0|ph-qq-z^-0|
อิจฉา	z-i-t^-1|ch-aa-z^-4|
อิตาเลียน	z-i-z^-1|t-aa-z^-0|l-iia-n^-2|
อิทธิพล	z-i-t^-1|th-i-z^-3|ph-o-n^-0|
อินเดีย	z-i-n^-0|d-iia-z^-0|
อินโดจีน	z-i-n^-0|d-oo-z^-0|c-ii-n^-0|
อินโดนีเซีย	z-i-n^-0|d-oo-z^-0|n-ii-z^-0|s-iia-z^-0|
อิรัก	z-i-z^-1|r-a-k^-3|
อิลิช	z-i-z^-1|l-i-ch^-3|
อิสระ	z-i-t^-1|s-a-z^-1|r-a-z^-1|
อิสลาม	z-i-z^-1|s-a-z^-1|l-aa-m^-0|
อิเล็กทรอนิกส์	z-i-z^-1|l-e-k^-3|thr-@@-z^-0|n-i-k^-1|
อิ่ม	z-i-m^-1|
อีก	z-ii-k^-1|
อีรี่	z-ii-z^-0|r-ii-z^-2|
อีวาน	z-ii-z^-0|w-aa-n^-0|
อีสาน	z-ii-z^-0|s-aa-n^-4|
อึดอัด	z-v-t^-1|z-a-t^-1|
อื่น	z-vv-n^-1|
อื้อฉาว	z-vv-z^-2|ch-aa-w^-4|
อุณหภูมิ	z-u-n^-0|h-a-z^-1|ph-uu-m^-0|
อุดตัน	z-u-t^-1|t-a-n^-0|
อุดม	z-u-z^-1|d-o-m^-0|
อุดมการณ์	z-u-z^-1|d-o-m^-0|k-aa-n^-0|
อุดมศึกษา	z-u-t^-1|d-o-m^-0|m-a-z^-3|s-v-k^-1|s-aa-z^-4|
อุดมศึกษา	z-u-z^-1|d-o-m^-0|m-a-z^-3|s-v-k^-1|s-aa-z^-4|
อุดมศึกษา	z-u-z^-1|d-o-m^-0|s-v-k^-1|s-aa-z^-4|
อุดมสมบูรณ์	z-u-z^-1|d-o-m^-0|s-o-m^-4|b-uu-n^-0|
อุดร	z-u-z^-1|d-@@-n^-0|
อุดรธานี	z-u-z^-1|d-@@-n^-0|th-aa-z^-0|n-ii-z^-0|
อุตสาหกรรม	z-u-t^-1|s-aa-z^-4|h-a-z^-1|k-a-m^-0|
อุตสาหะ	z-u-t^-1|s-aa-z^-4|h-a-z^-1|
อุทยาน	z-u-t^-1|th-a-z^-3|j-aa-n^-0|
อุทัย	z-u-z^-1|th-a-j^-0|
อุทาหรณ์	z-u-z^-1|th-aa-z^-0|h-@@-n^-4|
อุทิศ	z-u-z^-1|th-i-t^-3|
อุบัติเหตุ	z-u-z^-1|b-a-t^-1|t-i-z^-1|h-ee-t^-1|
อุปกรณ์	z-u-p^-1|p-a-z^-1|k-@@-n^-0|
อุปนิสัย	z-u-p^-1|p-a-z^-1|n-i-z^-3|s-a-j^-4|
อุปสรรค	z-u-p^-1|p-a-z^-1|s-a-k^-1|
อุปโภค	z-u-p^-1|p-a-z^-1|ph-oo-k^-2|
อเนกชน	z-a-z^-1|n-ee-k^-1|ch-o-n^-0|
อเมริกัน	z-a-z^-1|m-ee-z^-0|r-i-z^-3|k-a-n^-0|
อเมริกา	z-a-z^-1|m-ee-z^-0|r-i-z^-3|k-aa-z^-0|
อเล็กซานเดรีย	z-a-z^-1|l-e-k^-3|s-aa-n^-0|dr-iia-z^-0|
อโลชา	z-a-z^-1|l-oo-z^-0|ch-aa-z^-0|
อโศก	z-a-z^-1|s-oo-k^-1|
อ่อน	z-@@-n^-1|
อ่อนหวาน	z-@@-n^-1|w-aa-n^-4|
อ่อนแอ	z-@@-n^-1|z-xx-z^-0|
อ่อนโยน	z-@@-n^-1|j-oo-n^-0|
อ่าง	z-aa-ng^-1|
อ่าน	z-aa-n^-1|
อ่าว	z-aa-w^-1|
อ้วน	z-uua-n^-2|
อ้อม	z-@@-m^-2|
อ้าง	z-aa-ng^-2|
อ้างอิง	z-aa-ng^-2|z-i-ng^-0|
อ้าย	z-aa-j^-2|
ฮอร์โมน	h-@@-z^-0|m-oo-n^-0|
ฮินดู	h-i-n^-0|d-uu-z^-0|
ฮุสเซ็น	h-u-t^-3|s-e-n^-0|
ฯพณฯ	ph-a-z^-3|n-a-z^-3|th-a-n^-2|
เกณฑ์	k-ee-n^-0|
เกรง	kr-ee-ng^-0|
เกรงขาม	kr-ee-ng^-0|kh-aa-m^-4|
เกรงอกเกรงใจ	kr-ee-ng^-0|z-o-k^-1|kr-ee-ng^-0|c-a-j^-0|
เกรงใจ	kr-ee-ng^-0|c-a-j^-0|
เกริกเกียรติ	kr-qq-k^-1|k-iia-t^-1|
เกรียวกราว	kr-iia-w^-0|kr-aa-w^-0|
เกลียด	kl-iia-t^-1|
เกลียดชัง	kl-iia-t^-1|ch-a-ng^-0|
เกลื่อนกลาด	kl-vva-n^-1|kl-aa-t^-1|
เกษตร	k-a-z^-1|s-ee-t^-1|
เกษตรกร	k-a-z^-1|s-ee-t^-1|tr-a-z^-1|k-@@-n^-0|
เกษตรกรรม	k-a-z^-1|s-ee-t^-1|tr-a-z^-1|k-a-m^-0|
เกษียณ	k-a-z^-1|s-iia-n^-4|
เกาหลีเหนือ	k-a-w^-0|l-ii-z^-4|n-vva-z^-4|
เกาหลีใต้	k-a-w^-0|l-ii-z^-4|t-a-j^-2|
เกาะ	k-@-z^-1|
เกิด	k-qq-t^-1|
เกิน	k-qq-n^-0|
เกียรติ	k-iia-t^-1|
เกียรติภูมิ	k-iia-t^-1|t-i-z^-1|ph-uu-m^-0|
เกียรติยศ	k-iia-t^-1|t-i-z^-1|j-o-t^-3|
เกี่ยว	k-iia-w^-1|
เกี่ยวกับ	k-iia-w^-1|k-a-p^-1|
เกี่ยวข้อง	k-iia-w^-1|kh-@-ng^-2|
เกี่ยวข้อง	k-iia-w^-1|kh-@@-ng^-2|
เกี่ยวพัน	k-iia-w^-1|ph-a-n^-0|
เกี่ยวเนื่อง	k-iia-w^-1|n-vva-ng^-2|
เกี่ยวโยง	k-iia-w^-1|j-oo-ng^-0|
เกือบ	k-vva-p^-1|
เกือบจะ	k-vva-p^-1|c-a-z^-1|
เกื้อกูล	k-vva-z^-2|k-uu-n^-0|
เกื้อหนุน	k-vva-z^-2|n-u-n^-4|
เก็บ	k-e-p^-1|
เก่ง	k-e-ng^-1|
เก่า	k-a-w^-1|
เก่าแก่	k-a-w^-1|k-xx-z^-1|
เก้า	k-a-w^-2|
เก้า	k-aa-w^-2|
เก้าอี้	k-a-w^-2|z-ii-z^-2|
เขต	kh-ee-t^-1|
เขมร	kh-a-z^-1|m-ee-n^-4|
เขย	kh-qq-j^-4|
เขยิบ	kh-a-z^-1|j-q-p^-1|
เขลา	khl-a-w^-4|
เขา	kh-a-w^-4|
เขียง	kh-iia-ng^-4|
เขียน	kh-iia-n^-4|
เขียว	kh-iia-w^-4|
เขื่อน	kh-vva-n^-1|
เข็มฉีดยา	kh-e-m^-4|ch-ii-t^-1|j-aa-z^-0|
เข่นฆ่า	kh-e-n^-1|kh-aa-z^-2|
เข้มข้น	kh-e-m^-2|kh-o-n^-2|
เข้มงวด	kh-e-m^-2|ng-uua-t^-2|
เข้มแข็ง	kh-e-m^-2|kh-x-ng^-4|
เข้า	kh-a-w^-2|
เข้าใจ	kh-a-w^-2|c-a-j^-0|
เคมี	kh-ee-z^-0|m-ii-z^-0|
เคย	kh-qq-j^-0|
เครดิต	khr-ee-z^-0|d-i-t^-1|
เครมลิน	khr-ee-m^-0|l-i-n^-0|
เคราะห์กรรม	khr-@-z^-3|k-a-m^-0|
เครียด	khr-iia-t^-2|
เครือ	khr-vva-z^-0|
เครือข่าย	khr-vva-z^-0|kh-aa-j^-1|
เครื่อง	khr-vva-ng^-2|
เครื่องจักร	khr-vva-ng^-2|c-a-k^-1|
เครื่องจักสาน	khr-vva-ng^-2|c-a-k^-1|s-aa-n^-4|
เครื่องช่วย	khr-vva-ng^-2|ch-uua-j^-2|
เครื่องดนตรี	khr-vva-ng^-2|d-o-n^-0|tr-ii-z^-0|
เครื่องนุ่งห่ม	khr-vva-ng^-2|n-u-ng^-2|h-o-m^-1|
เครื่องปั้นดินเผา	khr-vva-ng^-2|p-a-n^-2|d-i-n^-0|ph-a-w^-4|
เครื่องมือ	khr-vva-ng^-2|m-vv-z^-0|
เครื่องหมาย	khr-vva-ng^-2|m-aa-j^-4|
เครื่องเทศ	khr-vva-ng^-2|th-ee-t^-2|
เครื่องใช้	khr-vva-ng^-2|ch-a-j^-3|
เครื่องไม้	khr-vva-ng^-2|m-aa-j^-3|
เคร่งครัด	khr-e-ng^-2|khr-a-t^-3|
เคร่งเครียด	khr-e-ng^-2|khr-iia-t^-2|
เคลลี่	kh-e-n^-0|l-ii-z^-2|
เคลื่อน	khl-vva-n^-2|
เคลื่อนที่	khl-vva-n^-2|th-ii-z^-2|
เคลื่อนย้าย	khl-vva-n^-2|j-aa-j^-3|
เคลื่อนไหว	khl-vva-n^-2|w-a-j^-4|
เคารพ	kh-a-w^-0|r-o-p^-3|
เคาะ	kh-@-z^-3|
เคียงข้าง	kh-iia-ng^-0|kh-aa-ng^-2|
เคียดแค้น	kh-iia-t^-2|kh-xx-n^-3|
เค้า	kh-a-w^-3|
เงา	ng-a-w^-0|
เงาะ	ng-@-z^-3|
เงิน	ng-q-n^-0|
เงิน	ng-qq-n^-0|
เงินตรา	ng-q-n^-0|tr-aa-z^-0|
เงินเดือน	ng-qq-n^-0|d-vva-n^-0|
เงียบ	ng-iia-p^-2|
เงียบเหงา	ng-iia-p^-2|ng-a-w^-4|
เงื่อนปม	ng-vva-n^-2|p-o-m^-0|
เงื่อนไข	ng-vva-n^-2|kh-a-j^-4|
เจดีย์	c-ee-z^-0|d-ii-z^-0|
เจตคติ	c-ee-z^-0|t-a-z^-1|kh-a-z^-3|t-i-z^-1|
เจตจำนง	c-ee-t^-1|c-a-m^-0|n-o-ng^-0|
เจตนา	c-ee-t^-1|t-a-z^-1|n-aa-z^-0|
เจตนารมณ์	c-ee-t^-1|t-a-z^-1|n-aa-z^-0|r-o-m^-0|
เจตภูต	c-ee-t^-1|t-a-z^-1|ph-uu-t^-2|
เจนจัด	c-ee-n^-0|c-a-t^-1|
เจรจา	c-ee-z^-0|r-a-z^-3|c-aa-z^-0|
เจริญ	c-a-z^-1|r-qq-n^-0|
เจาะจง	c-@-z^-1|c-o-ng^-0|
เจียงไคเช็ก	c-iia-ng^-0|kh-a-j^-0|ch-e-k^-3|
เจ็ด	c-e-t^-1|
เจ็บ	c-e-p^-1|
เจ็บปวด	c-e-p^-1|p-uua-t^-1|
เจ็บป่วย	c-e-p^-1|p-uua-j^-1|
เจ็บแค้น	c-e-p^-1|kh-xx-n^-3|
เจ็บไข้ได้ป่วย	c-e-p^-1|kh-a-j^-2|d-aa-j^-2|p-uua-j^-1|
เจ้า	c-a-w^-2|
เจ้ากรม	c-a-w^-2|kr-o-m^-0|
เจ้าของ	c-a-w^-2|kh-@@-ng^-4|
เจ้าคณะ	c-aa-w^-2|kh-a-z^-3|n-a-z^-3|
เจ้าคุณ	c-a-w^-2|kh-u-n^-0|
เจ้าตัว	c-a-w^-2|t-uua-z^-0|
เจ้านาย	c-a-w^-2|n-aa-j^-0|
เจ้าพนักงาน	c-a-w^-2|ph-a-z^-3|n-a-k^-3|ng-aa-n^-0|
เจ้าพระยา	c-a-w^-2|phr-a-z^-3|j-aa-z^-0|
เจ้าพระยา	c-aa-w^-2|phr-a-z^-3|j-aa-z^-0|
เจ้าพ่อ	c-a-w^-2|ph-@@-z^-2|
เจ้าฟ้า	c-a-w^-2|f-aa-z^-3|
เจ้าฟ้า	c-aa-w^-2|f-aa-z^-3|
เจ้าภาพ	c-aa-w^-2|ph-aa-p^-2|
เจ้าระเบียบ	c-aa-w^-2|r-a-z^-3|b-iia-p^-1|
เจ้าวัด	c-aa-w^-2|w-a-t^-3|
เจ้าหน้าที่	c-a-w^-2|n-aa-z^-2|th-ii-z^-2|
เจ้าอยู่หัว	c-a-w^-2|j-uu-z^-1|h-uua-z^-4|
เจ้าอยู่หัว	c-aa-w^-2|j-uu-z^-1|h-uua-z^-4|
เฉพาะ	ch-a-z^-1|ph-@-z^-3|
เฉพาะกาล	ch-a-z^-1|ph-@-z^-3|k-aa-n^-0|
เฉพาะตัว	ch-a-z^-1|ph-@-z^-3|t-uua-z^-0|
เฉพาะที่	ch-a-z^-1|ph-@-z^-3|th-ii-z^-2|
เฉพาะหน้า	ch-a-z^-1|ph-@-z^-3|n-aa-z^-2|
เฉย	ch-qq-j^-4|
เฉลิม	ch-a-z^-1|l-qq-m^-4|
เฉลิมฉลอง	ch-a-z^-1|l-qq-m^-4|ch-a-z^-1|l-@@-ng^-4|
เฉลิมพระชนมพรรษา	ch-a-z^-1|l-qq-m^-4|phr-a-z^-3|ch-o-n^-0|m-a-z^-3|ph-a-n^-0|s-aa-z^-4|
เฉลียวฉลาด	ch-a-z^-1|l-iia-w^-4|ch-a-z^-1|l-aa-t^-1|
เฉลี่ย	ch-a-z^-1|l-iia-z^-1|
เฉียบพลัน	ch-iia-p^-1|phl-a-n^-0|
เชคโกสโลวเกีย	ch-e-k^-3|k-oo-z^-0|s-a-z^-1|l-oo-z^-0|w-a-z^-3|k-iia-z^-0|
เชลย	ch-a-z^-3|l-qq-j^-0|
เชาวน์ปัญญา	ch-a-w^-0|p-a-n^-0|j-aa-z^-0|
เชิง	ch-qq-ng^-0|
เชิญ	ch-qq-n^-0|
เชิญชวน	ch-qq-n^-0|ch-uua-n^-0|
เชียงใหม่	ch-iia-ng^-0|m-a-j^-1|
เชี่ยวชาญ	ch-iia-w^-2|ch-aa-n^-0|
เชื่อ	ch-vva-z^-2|
เชื่องช้า	ch-vva-ng^-2|ch-aa-z^-3|
เชื่อถือ	ch-vva-z^-2|th-vv-z^-4|
เชื่อฟัง	ch-vva-z^-2|f-a-ng^-0|
เชื่อม	ch-vva-m^-2|
เชื่อมต่อ	ch-vva-m^-2|t-@@-z^-1|
เชื่อมั่น	ch-vva-z^-2|m-a-n^-2|
เชื่อมโยง	ch-vva-m^-2|j-oo-ng^-0|
เชื้อ	ch-vva-z^-3|
เชื้อชาติ	ch-vva-z^-3|ch-aa-t^-2|
เชื้อบ้า	ch-vva-z^-3|b-aa-z^-2|
เชื้อสาย	ch-vva-z^-3|s-aa-j^-4|
เชื้อเพลิง	ch-vva-z^-3|phl-qq-ng^-0|
เชื้อโรค	ch-vva-z^-3|r-oo-k^-2|
เช่น	ch-e-n^-2|
เช่นกัน	ch-e-n^-2|k-a-n^-0|
เช่นนั้น	ch-e-n^-2|n-a-n^-3|
เช่นนี้	ch-e-n^-2|n-ii-z^-3|
เช่นเดียว	ch-e-n^-2|d-iia-w^-0|
เช่นเดียวกัน	ch-e-n^-2|d-iia-w^-0|k-a-n^-0|
เช่นเดียวกับ	ch-e-n^-2|d-iia-w^-0|k-a-p^-1|
เช่นไร	ch-e-n^-2|r-a-j^-0|
เช่า	ch-a-w^-2|
เช้า	ch-aa-w^-3|
เช้ามืด	ch-aa-w^-3|m-vv-t^-2|
เซลล์	s-ee-w^-0|
เซียมซี	s-iia-m^-0|s-ii-z^-0|
เซ็กส์	s-e-k^-3|
เซ็น	s-e-n^-0|
เซ็นทรัล	s-e-n^-0|thr-a-n^-2|
เดอะ	d-q-z^-1|
เดอะบอสส์	d-q-z^-1|b-@@-s^-3|
เดา	d-a-w^-0|
เดิน	d-qq-n^-0|
เดินทาง	d-qq-n^-0|th-aa-ng^-0|
เดิม	d-qq-m^-0|
เดียรัจฉาน	d-iia-z^-0|r-a-t^-3|ch-aa-n^-4|
เดียว	d-iia-w^-0|
เดียวกัน	d-iia-w^-0|k-a-n^-0|
เดียวกับ	d-iia-w^-0|k-a-p^-1|
เดี่ยว	d-iia-w^-1|
เดี๋ยวนี้	d-iia-w^-4|n-ii-z^-3|
เดือดร้อน	d-vva-t^-1|r-@@-n^-3|
เดือน	d-vva-n^-0|
เด็ก	d-e-k^-1|
เด็กสาว	d-e-k^-1|s-aa-w^-4|
เด็กหญิง	d-e-k^-1|j-i-ng^-4|
เด็กหนุ่ม	d-e-k^-1|n-u-m^-1|
เด็ดขาด	d-e-t^-1|kh-aa-t^-1|
เด็ดเดี่ยว	d-e-t^-1|d-iia-w^-1|
เด่น	d-e-n^-1|
เตมียเวส	t-ee-z^-0|m-ii-z^-0|j-a-z^-3|w-ee-t^-2|
เตรียม	tr-iia-m^-0|
เตรียมพร้อม	tr-iia-m^-0|phr-@@-m^-3|
เตา	t-a-w^-0|
เติบโต	t-qq-p^-1|t-oo-z^-0|
เติม	t-qq-m^-0|
เตียง	t-iia-ng^-0|
เตี่ย	t-iia-z^-1|
เตือน	t-vva-n^-0|
เต็ม	t-e-m^-0|
เต็มที่	t-e-m^-0|th-ii-z^-2|
เต็มเปี่ยม	t-e-m^-0|p-iia-m^-1|
เต็มใจ	t-e-m^-0|c-a-j^-0|
เต็มไปด้วย	t-e-m^-0|p-a-j^-0|d-uua-j^-2|
เต่า	t-a-w^-1|
เต้น	t-e-n^-2|
เถาทอง	th-a-w^-4|th-@@-ng^-0|
เถิด	th-qq-t^-1|
เถียง	th-iia-ng^-4|
เถื่อน	th-vva-n^-1|
เทคนิค	th-e-k^-3|n-i-k^-1|
เทคนิค	th-ee-k^-3|n-i-k^-1|
เทคโนโลยี	th-e-k^-3|n-oo-z^-0|l-oo-z^-0|j-ii-z^-0|
เทป	th-ee-p^-3|
เทวดา	th-ee-z^-0|w-a-z^-3|d-aa-z^-0|
เทศกาล	th-ee-t^-2|s-a-z^-1|k-aa-n^-0|
เทศนา	th-ee-t^-2|s-a-z^-1|n-aa-z^-4|
เทศน์	th-ee-t^-2|
เทอร์มินัล	th-qq-z^-0|m-i-z^-3|n-a-n^-2|
เทียน	th-iia-n^-0|
เทียนชัย	th-iia-n^-0|ch-a-j^-0|
เทียบ	th-iia-p^-2|
เทียบเคียง	th-iia-p^-2|kh-iia-ng^-0|
เทียม	th-iia-m^-0|
เที่ยง	th-iia-ng^-2|
เที่ยงธรรม	th-iia-ng^-2|th-a-m^-0|
เที่ยว	th-iia-w^-2|
เที่ยวเตร่	th-iia-w^-2|tr-ee-z^-1|
เทเวศร์วงศ์วิวัฒน์	th-ee-z^-0|w-ee-t^-2|w-o-ng^-0|w-i-z^-3|w-a-t^-3|
เท็จ	th-e-t^-3|
เท่า	th-a-w^-2|
เท่านั้น	th-a-w^-2|n-a-n^-3|
เท่าเทียม	th-a-w^-2|th-iia-m^-0|
เท่าใด	th-a-w^-2|d-a-j^-0|
เท่าไหร่	th-a-w^-2|r-a-j^-1|
เท้า	th-a-w^-3|
เท้า	th-aa-w^-3|
เธอ	th-qq-z^-0|
เนรเทศ	n-ee-z^-0|r-a-z^-3|th-ee-t^-2|
เนิน	n-qq-n^-0|
เนือง	n-vva-ng^-0|
เนืองแน่น	n-vva-ng^-0|n-xx-n^-2|
เนื่อง	n-vva-ng^-2|
เนื่องจาก	n-vva-ng^-2|c-aa-k^-1|
เนื่องด้วย	n-vva-ng^-2|d-uua-j^-2|
เนื่องมาจาก	n-vva-ng^-2|m-aa-z^-0|c-aa-k^-1|
เนื้อ	n-vva-z^-3|
เนื้อความ	n-vva-z^-3|khw-aa-m^-0|
เนื้อที่	n-vva-z^-3|th-ii-z^-2|
เนื้อหา	n-vva-z^-3|h-aa-z^-4|
เนื้อเยื่อ	n-vva-z^-3|j-vva-z^-2|
เนื้อเรื่อง	n-vva-z^-3|r-vva-ng^-2|
เนื้อแท้	n-vva-z^-3|th-xx-z^-3|
เนเธอร์แลนด์	n-ee-z^-0|th-qq-z^-2|l-xx-n^-0|
เน้น	n-e-n^-3|
เน้นหนัก	n-e-n^-3|n-a-k^-1|
เบญจขันธ์	b-e-n^-0|c-a-z^-1|kh-a-n^-4|
เบรก	br-ee-k^-1|
เบสิก	b-ee-z^-0|s-i-k^-1|
เบอร์	b-qq-z^-0|
เบา	b-a-w^-0|
เบาบาง	b-a-w^-0|b-aa-ng^-0|
เบิก	b-qq-k^-1|
เบียดเบียน	b-iia-t^-1|b-iia-n^-0|
เบี่ยงเบน	b-iia-ng^-1|b-ee-n^-0|
เบี้ย	b-iia-z^-2|
เบื่อหน่าย	b-vva-z^-1|n-aa-j^-1|
เบื้อง	b-vva-ng^-2|
เบื้องต้น	b-vva-ng^-2|t-o-n^-2|
เบื้องหลัง	b-vva-ng^-2|l-a-ng^-4|
เบื้องแรก	b-vva-ng^-2|r-xx-k^-2|
เบ็ดเสร็จ	b-e-t^-1|s-e-t^-1|
เบ่งบาน	b-e-ng^-1|b-aa-n^-0|
เปรม	pr-ee-m^-0|
เปรียญ	p-a-z^-1|r-iia-n^-0|
เปรียบ	pr-iia-p^-1|
เปรียบเทียบ	pr-iia-p^-1|th-iia-p^-2|
เปลี่ยน	pl-iia-n^-1|
เปลี่ยนแปลง	pl-iia-n^-1|pl-xx-ng^-0|
เปลือก	pl-vva-k^-1|
เปลือง	pl-vva-ng^-0|
เปล่ง	pl-e-ng^-1|
เปล่า	pl-aa-w^-1|
เปอร์เซีย	p-qq-z^-0|s-iia-z^-0|
เปอร์เซ็นต์	p-qq-z^-0|s-e-n^-0|
เปิด	p-qq-t^-1|
เปิดเผย	p-qq-t^-1|ph-qq-j^-4|
เปิดโปง	p-qq-t^-1|p-oo-ng^-0|
เปียโน	p-iia-z^-0|n-oo-z^-0|
เป็น	p-e-n^-0|
เป็นจริง	p-e-n^-0|c-i-ng^-0|
เป็นตัวเป็นตน	p-e-n^-0|t-uua-z^-0|p-e-n^-0|t-o-n^-0|
เป็นต้น	p-e-n^-0|t-o-n^-2|
เป็นต้นไป	p-e-n^-0|t-o-n^-2|p-a-j^-0|
เป็นธรรม	p-e-n^-0|th-a-m^-0|
เป็นมา	p-e-n^-0|m-aa-z^-0|
เป็นล่ำเป็นสัน	p-e-n^-0|l-a-m^-2|p-e-n^-0|s-a-n^-4|
เป็นสุข	p-e-n^-0|s-u-k^-1|
เป็นห่วง	p-e-n^-0|h-uua-ng^-1|
เป็นอยู่	p-e-n^-0|j-uu-z^-1|
เป็นอันขาด	p-e-n^-0|z-a-n^-0|kh-aa-t^-1|
เป็นอันมาก	p-e-n^-0|z-a-n^-0|m-aa-k^-2|
เป็นเลิศ	p-e-n^-0|l-qq-t^-2|
เป็นแน่	p-e-n^-0|n-xx-z^-2|
เป็นใหญ่	p-e-n^-0|j-a-j^-1|
เป้า	p-a-w^-2|
เป้าประสงค์	p-a-w^-2|pr-a-z^-1|s-o-ng^-4|
เป้าหมาย	p-a-w^-2|m-aa-j^-4|
เป๊าะ	p-@-z^-3|
เผชิญ	ph-a-z^-1|ch-qq-n^-0|
เผชิญหน้า	ph-a-z^-1|ch-qq-n^-0|n-aa-z^-2|
เผด็จการ	ph-a-z^-1|d-e-t^-1|k-aa-n^-0|
เผย	ph-qq-j^-4|
เผยแพร่	ph-qq-j^-4|phr-xx-z^-2|
เผอิญ	ph-a-z^-1|z-qq-n^-0|
เผื่อ	ph-vva-z^-1|
เผ่า	ph-a-w^-1|
เผ่าพันธุ์	ph-a-w^-1|ph-a-n^-0|
